"""G_Name""","""hex1""","""hex2""","""hex3"""
"""GOLDEN""","""#f0bf43""","""#daa520""",""
"""FUCHSIA""","""#ff00ff""","""#d108d1""",""
"""PEACH""","""#ffe5b4""","""#f0cd88""",""
"""CREAM""","""#f5f5dc""","""#f0f0c0""",""
"""SALMON""","""#fa8072""","""#e85f4c""",""
"""COFFEE""","""#705a11""","""#917014""",""
"""BLOOD 2""","""#ad3e3e""","""#8a4545""",""
"""FANCY 2""","""#e6579a""","""#d94ed2""",""
"""PINEAPPLE""","""#e4f099""","""#b9d628""",""
"""PEACH""","""#f1eab9""","""#ff8c8c""",""
"""COOL""","""#1eadf0""","""#0afb60""",""
"""FRESH""","""#2de069""","""#1a803c""",""
"""BRONZE""","""#e0982d""","""#80501a""",""
"""INDIGO""","""#692de0""","""#431a80""",""
"""PURPLE""","""#e02dc8""","""#801a77""",""
"""GOLD V2""","""#d1e02d""","""#80711b""",""
"""CYAN""","""#2fe0cb""","""#1c8079""",""
"""SANGRIA WINE""","""#e0313c""","""#7f1c39""",""
"""ALONE""","""#39162d""","""#c9c0c6""",""
"""FROG""","""#7ec24a""","""#a4cc2b""",""
"""BLOOD MOON""","""#e66a6a""","""#cc2b2b""",""
"""LOLLIPOP""","""#9191ff""","""#94ffda""","""#f3ffa3"""
"""COTTON CANDY""","""#ffadfb""","""#bca6ff""","""#cfefff"""
"""SWEET""","""#ffa6db""","""#ffa8a8""","""#fffcd1"""
"""CARIBE""","""#6576fc""","""#6be1ff""","""#87ffa9"""
"""GRAPPE""","""#b52baa""","""#aa17bd""",""
"""DEPTH""","""#387fc2""","""#1e8ccc""",""
"""STORM""","""#566a6e""","""#6c7c85""",""
"""DRIZZLE""","""#d1e3e6""","""#d9e5eb""",""
"""OCEAN BLUE""","""#5c5cff""","""#59afff""",""
"""DONUT""","""#ffc2d5""","""#f567b0""",""
"""ICE""","""#c2f5ff""","""#a3edff""",""
"""STEEL""","""#c7c7c7""","""#999999""",""
"""ROCK""","""#c29946""","""#7a5e27""",""
"""JELLY""","""#9f7df5""","""#8f26eb""",""
"""JUICE""","""#f0e871""","""#ebc23d""",""
"""MINT V3""","""#70d2db""","""#68ed89""",""
"""SAND""","""#d6c79a""","""#edd9a1""",""
"""CHARCOAL""","""#545454""","""#3d3d3d""",""
"""THINK""","""#9229c2""","""#e63ca7""",""
"""JUNGLE""","""#34c24c""","""#0b991e""",""
"""NIGHTFALL""","""#5f5b61""","""#36215e""",""
"""TREND""","""#b452ff""","""#6426e0""",""
"""GLAMOUR""","""#ff5252""","""#e028a3""",""
"""SMOOTHIE""","""#ffb699""","""#ff8585""",""
"""IRIS""","""#6f26ed""","""#8162fc""",""
"""TULIP 2""","""#fa82c4""","""#ffb2dc""",""
"""TULIP 1""","""#fadf14""","""#f55e23""",""
"""SUNFLOWER""","""#e8e22e""","""#f5b223""",""
"""MAPLE LEAF""","""#f53f3f""","""#ff7c24""",""
"""TREE""","""#89c75a""","""#106b18""",""
"""RED SOIL""","""#b3391b""","""#b87d60""",""
"""GREYRPLE""","""#bcb8d1""","""#7968cc""",""
"""ORANGE""","""#bef266""","""#fac450""",""
"""DEGREE""","""#f266cf""","""#fab152""",""
"""LIME""","""#fcea60""","""#78f558""",""
"""GRAPEFRUIT""","""#fc60a4""","""#f02828""",""
"""VIBES""","""#59deff""","""#37fc48""",""
"""CREATIVE""","""#427eff""","""#f511cf""",""
"""WEATHER UI""","""#e6a519""","""#e05b19""",""
"""CARD""","""#21ad23""","""#19e0c9""",""
"""HOT""","""#ad217e""","""#e05b19""",""
"""NIGHT""","""#2821ad""","""#af63bd""",""
"""RELAX""","""#e3adb5""","""#f7e3d7""",""
"""PEACE""","""#fae0c8""","""#bfc9ff""",""
"""SNOW DAY""","""#f5f4eb""","""#bce1f7""",""
"""MANGO""","""#f7d67b""","""#e3ab10""",""
"""DUSK V2""","""#781291""","""#b978eb""",""
"""BYE SUN""","""#91125e""","""#f08833""",""
"""RED SKY""","""#960e49""","""#f7748e""",""
"""SUNRISE SKY""","""#b35a26""","""#fcbe6d""",""
"""DAY SKY""","""#4b75e8""","""#54c0ff""",""
"""BEAUTIFUL""","""#9f45ff""","""#ff45d7""",""
"""AWESOME""","""#45ffc4""","""#4577ff""",""
"""HASHTAG""","""#ff45e6""","""#ff7445""",""
"""PURE BP""","""#4e45ff""","""#9f45ff""",""
"""RAINBOW 2""","""#7dff88""","""#616cff""","""#f959ff"""
"""RAINBOW 1""","""#ff615e""","""#ffbc40""","""#fcff40"""
"""SWEET""","""#ffadad""","""#fffde3""","""#ffb2f2"""
"""MINERAL""","""#635147""","""#cc7722""",""
"""MINT V2""","""#5dc1b9""","""#23cfc4""",""
"""ULTRA-B""","""#4273b8""","""#1259c4""",""
"""MAGENTA""","""#e5097f""","""#f556ab""",""
"""AQUA JET""","""#7886f0""","""#7a81bf""",""
"""CASE""","""#c2c2c2""","""#7d7d7d""",""
"""GHOST""","""#bf77d9""","""#8045b3""",""
"""BONFIRE""","""#5e5e5e""","""#966542""",""
"""MILK""","""#f2efdc""","""#f5f5f5""",""
"""FRAPPE""","""#d2b48c""","""#785836""",""
"""STRAWBERRY 2""","""#f7b7cd""","""#faa5e2""",""
"""VANILLA""","""#f0e4a3""","""#ede8c0""",""
"""CHOCOLATE""","""#785131""","""#262626""",""
"""STEEL2""","""#d4d4d4""","""#6e6e6e""",""
"""SPRING""","""#78eb91""","""#4dbf39""",""
"""WATERMELON""","""#74f28f""","""#f7736c""",""
"""LAWN""","""#7ac289""","""#d6cd56""",""
"""CENOTE""","""#338bff""","""#61f2ff""","""#69ffb9"""
"""T-PURPLE""","""#4036ff""","""#7063ff""","""#846bff"""
"""SUNSETV2""","""#ff904f""","""#ffc061""","""#ffd54c"""
"""THREE""","""#ff6666""","""#ff219b""","""#ff91ed"""
"""STRAWBERRY""","""#ff75cc""","""#ff2424""",""
"""CYANO""","""#69ffe9""","""#85ffa8""",""
"""LAVANDA""","""#aa99ff""","""#e09cff""",""
"""SUNRISE""","""#ff8f8f""","""#fffc99""",""
"""CYBER""","""#b066ff""","""#4141fa""",""
"""HTTPS""","""#5cdb62""","""#20a81b""",""
"""WWW""","""#a7a3f0""","""#57c5f0""",""
"""INTERNET""","""#7670ed""","""#2248c7""",""
"""INTERNATIONAL""","""#ffcf3d""","""#ab871d""",""
"""WOMEN'S""","""#d52eff""","""#bf8aff""",""
"""DAY""","""#ff8aec""","""#ffa6a6""",""
"""PEECH""","""#c91c8a""","""#eb9fb4""",""
"""NEO""","""#4409ba""","""#a3a3b3""",""
"""PLAYGROUND""","""#3135f7""","""#f77676""",""
"""BERRY""","""#fa699c""","""#f22e2e""",""
"""NAIG""","""#68e36e""","""#5ca8ff""",""
"""PLANT""","""#68e36e""","""#10850c""",""
"""COFFEE""","""#694632""","""#33190a""",""
"""SPRING""","""#f782ff""","""#a8ffb4""",""
"""SILVER""","""#ededed""","""#bdbdbd""",""
"""POND""","""#85ff75""","""#afb80b""",""
"""BLOOD""","""#ff7878""","""#6e0000""",""
"""OBSIDIAN""","""#4d4c4c""","""#1a1a1a""",""
"""PURPLESUNSET""","""#ffa49c""","""#ff3bde""",""
"""SHINY""","""#fff99e""","""#ffcb3d""",""
"""OCEAN""","""#483bff""","""#5ce9ff""",""
"""STARS""","""#5d54ff""","""#ffc547""",""
"""SEAWEED""","""#000000""","""#026349""",""
"""TANGERINE""","""#fa7f2d""","""#fa5a5a""",""
"""ARIS""","""#adfa5a""","""#08faea""",""
"""TITANIUM""","""#bad9cd""","""#455f63""",""
"""MELOCOTON""","""#f0dc8d""","""#ff1c3e""",""
"""GRASS""","""#7af5c4""","""#3ed682""",""
"""JADE""","""#0eb896""","""#174f32""",""
"""DENYS""","""#d078e6""","""#d1b788""",""
"""AGE""","""#424899""","""#71678a""",""
"""SHALLOW""","""#0a7ac4""","""#22375e""",""
"""EUCALYPTUS""","""#aafada""","""#77c7c4""",""
"""SALMON""","""#faaabf""","""#c7778d""",""
"""COOL""","""#4497f5""","""#75ddff""",""
"""TUESDAY""","""#ffbacc""","""#fac769""",""
"""SOUL""","""#d4d4d4""","""#a6a6a6""",""
"""SUNLIGHT""","""#f5f180""","""#f5d8a1""",""
"""HEAT""","""#f58080""","""#f5a1a1""",""
"""SOCIAL""","""#4e4ae4""","""#d3c4fc""",""
"""VIOLET""","""#b073fa""","""#6f42f5""",""
"""INDIGO""","""#4264fb""","""#5a77fa""",""
"""GREAT""","""#cbff78""","""#69ffe9""",""
"""MONDAY""","""#ff7878""","""#ff9c6b""",""
"""GOODVIBES""","""#0016aa""","""#c0ffff""",""
"""OPEN""","""#561cd8""","""#09db6e""",""
"""NEONLIGHTS""","""#02f857""","""#00aed1""",""
"""CELESTE""","""#03ebe3""","""#02a2d0""",""
"""SWIFT""","""#12a0ff""","""#faebb1""",""
"""SOUTH""","""#8abd68""","""#6f5794""",""
"""COOL""","""#17fcda""","""#08ff9c""",""
"""PINKGOLD""","""#975043""","""#ffa095""",""
"""VOYAGE""","""#575757""","""#bdbdbd""",""
"""CRUSTACEAN""","""#ff0000""","""#fc777e""",""
"""CLEAN""","""#c7ffd7""","""#9effff""",""
"""SUGAR""","""#e0cccc""","""#eef0c3""",""
"""SWEET""","""#f0b7b7""","""#8441e8""",""
"""ORANGE""","""#94480a""","""#e3761d""",""
"""HONEY""","""#dbd641""","""#8c501f""",""
"""BALANCE""","""#ff0000""","""#1500ff""",""
"""YINGYANG""","""#ffffff""","""#000000""",""
"""LIFE""","""#22b357""","""#3664c7""",""
"""POLLUTION""","""#516b6b""","""#8f7544""",""
"""GRAPPE""","""#5a1399""","""#1a1582""",""
"""JUNGLE""","""#2abd3d""","""#5c4211""",""
"""MORNING""","""#ffc64c""","""#e0c7e8""",""
"""OVERCAST""","""#c3eafa""","""#cacbcc""",""
"""WATER""","""#00b7ff""","""#88b3db""",""
"""GRASS""","""#d5ff00""","""#057a26""",""
"""EMERALD""","""#00706c""","""#00ffbb""",""
"""VALENTINE'SDAY""","""#ff008c""","""#ff0000""",""
"""VISOR""","""#d98d00""","""#deaa00""",""
"""ATOM""","""#002bba""","""#c90000""",""
"""PLASMA""","""#003af7""","""#e000f0""",""
"""VOLCANO""","""#eb1f00""","""#330000""",""
"""BOLT""","""#001fcf""","""#d4d5ff""",""
"""FIRERED""","""#e64d00""","""#910303""",""
"""LANDSCAPE""","""#0093f5""","""#350ef5""",""
"""MOONLIGHT""","""#3e16de""","""#0b187a""",""
"""NION""","""#ffe48a""","""#7585ff""",""
"""SOFT""","""#ff75e3""","""#8aa9ff""",""
"""BLUEFLAME""","""#00a4db""","""#d6fdff""",""
"""DEEP""","""#161c3d""","""#181e66""",""
"""PURE""","""#c2c2c2""","""#f2f2f2""",""
"""FLAME""","""#ff5500""","""#ff0000""",""
"""PHOTO""","""#9100ff""","""#ff6600""",""
"""MINT""","""#00ffae""","""#00f4ff""",""
"""RETROSPHERA""","""#FF264C""","""#003AC6""",""
"""WINE""","""#97272D""","""#440000""",""
"""GARDEN""","""#66FFA8""","""#FFDF64""",""
"""BLUEBERRY""","""#666491""","""#1B2964""",""
"""CHOCOPINAPPLE""","""#4C2312""","""#FDD00A""",""
"""FANCY""","""#F92D74""","""#FA2EDB""",""
"""CHERRY""","""#EA284C""","""#F15547""",""
"""MOO""","""#80C8D0""","""#41482A""",""
"""LEAN""","""#FFC8D0""","""#412D91""",""
"""NEONYELLOW""","""#FFB100""","""#FFFF00""",""
"""NEONBLUE""","""#002DFF""","""#00F4FF""",""
"""NEONGREEN""","""#10BC10""","""#31ED31""",""
"""NEONPINK""","""#7646AD""","""#EC3C5D""",""
"""GOLD""","""#785F02""","""#EDBD0F""",""
"""RELAX""","""#90F7EC""","""#32CCBC""",""
"""CARIBBEAN""","""#4548E8""","""#30EEFF""",""
"""NIGHT""","""#1e3c72""","""#2a5298""",""
"""CRIMSON""","""#FF3030""","""#000000""",""
"""DRESS""","""#000000""","""#F630FF""",""
"""ELEGANT""","""#434343""","""#000000""",""
"""RAIN""","""#cfd9df""","""#e2ebf0""",""
"""FROZEN""","""#DDDCFF""","""#7DC4F2""",""
"""GREENLAKE""","""#ADFBAD""","""#7D7DF2""",""
"""RB""","""#ADB4FB""","""#F27D7D""",""
"""SUNDAY""","""#F8FBAD""","""#F2B07D""",""
"""ORCHIDS""","""#FBADF8""","""#CE7DF2""",""
"""SOUL""","""#D95C1D""","""#B44D2D""",""
"""TIME""","""#0AD558""","""#92F9E2""",""
"""POWER""","""#0009B7""","""#7814C8""",""
"""REALITY""","""#440E0F""","""#A6202E""",""
"""SPACE""","""#062C8D""","""#0FC4FF""",""
"""MIND""","""#B97603""","""#DFCC77""",""
"""TONERI""","""#53EEC9""","""#E8FCFB""",""
"""OLD""","""#667b91""","""#d4965a""",""
"""COLORFFY""","""#0275B8""","""#1FAF79""",""
"""RUBY""","""#E74366""","""#C23756""",""
"""LEMONLIME""","""#DBE434""","""#75C18D""",""
"""SUN""","""#E1A81D""","""#D0534E""",""
"""SUPERNOVA""","""#950CC2""","""#60199C""",""
"""ASTRO""","""#E974C2""","""#F3AA8B""",""
"""LAKE""","""#255DCE""","""#1C9FE7""",""
"""METAL""","""#205E79""","""#849E86""",""
"""NEONPURPLE""","""#332CD1""","""#AB39CC""",""
"""HUMMINGBIRD""","""#29abe2""","""#f3ee21""",""
"""LEAF""","""#006837""","""#8CC63F""",""
"""COPPER""","""#662E00""","""#D47800""",""
"""STEEL""","""#666666""","""#F2F2F2""",""
"""WOOD""","""#C69C6D""","""#754224""",""
"""SUNSET""","""#FBB03B""","""#ED1C24""",""
"""DAWN""","""#ED1C24""","""#FCEE21""",""
"""TWILIGHT""","""#d4145a""","""#1b1464""",""
"""SUGARCOTTON""","""#00ffff""","""#93278f""",""
"""ECCENTRIC""","""#fcee21""","""#7f6700""",""
"""SKY""","""#ffffff""","""#29abe2""",""
"""AQUA""","""#00ffff""","""#0000ff""",""
"""PEACH""","""#d4145a""","""#fbb03b""",""
"""FRESH""","""#8cc63f""","""#00b5e2""",""
"""CHEFFY""","""#F3453E""","""#B12F2D""",""
